id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
3	spot	-90	96	320.2546	13.87293	265.0532	149	33.12833	2.622695	1,1,1,1
4	spot	-90	96	325.4318	25.7424	335.3952	148	29.69249	3.6	1,1,1,1
5	spot	-60	96	314.6176	20.8094	0	132	33.81549	3.6	1,1,1,1
7	spot	-60	96	186.905	36.77879	302.9036	192	40.00002	3.376036	1,1,1,1
9	spot	-120	96	313.3306	21.50305	259.552	137	19.38498	3.111348	1,1,1,1
10	spot	-90	96	263.1853	40.61449	179.7763	135	29.73829	3.6	1,1,1,1
13	spot	90	96	338.9836	8.323759	318.5412	151	40	2.439451	1,1,1,1
17	spot	30	96	309.5544	25.66492	288.2039	187	46.18451	3.6	1,1,1,1
20	spot	-90	96	181.4626	37.89998	203.4382	146	35.43955	3.6	1,1,1,1
21	spot	-90	96	47.37582	21.50304	182.0235	152	47.55885	3.6	1,1,1,1
22	spot	-90	96	114.9143	21.50304	183.7089	160	44.8539	3.6	1,1,1,1
25	spot	60	96	281.1118	33.98869	190.4505	130	24.19515	3.6	1,1,1,1
26	spot	60	96	215.7094	20.11575	293.2601	194	47.55884	2.708209	1,1,1,1
27	spot	90	96	48.8524	38.8292	0	135	28.17965	3.6	1,1,1,1
29	spot	60	96	182.1152	33.99612	6.821567	163	49.73443	3.6	1,1,1,1
30	spot	60	96	106.5903	36.77132	0	158	36.52342	3.6	1,1,1,1
31	spot	30	96	117.4825	24.97674	0	195	42.35514	3.1765	1,1,1,1
34	spot	-90	96	94.60484	45.76719	185.8873	93	81.0236	3.6	1,1,1,1
35	spot	90	96	124.1562	44.4031	0	81	87.28147	2.611107	1,1,1,1
36	spot	-30	96	137.5807	27.84833	172.2442	167	41.50916	2.785579	1,1,1,1
37	spot	-60	96	325.7379	57.58527	257.5136	105	67.11731	2.363882	1,1,1,1
38	spot	60	96	320.6373	52.03489	293.3267	100	75.46108	3.6	1,1,1,1
39	spot	0	96	112.3161	9.905976	270.5634	219	56.94805	3.6	1,1,1,1
